LAG_21_STN_146_PM10,LAG_21_STN_146_PM10_7_DIFF,LAG_21_STN_146_PM10_7_PROP_DIFF,LAG_14_STN_146_PM10,LAG_14_STN_146_PM10_7_DIFF,LAG_14_STN_146_PM10_7_PROP_DIFF,LAG_7_STN_146_PM10,LAG_7_STN_146_PM10_7_DIFF,LAG_7_STN_146_PM10_7_PROP_DIFF,CURRENT_STN_146_PM10_7_DIFF,CURRENT_STN_146_PM10_7_PROP_DIFF,STN_144_PM10,STN_144_SO2,STN_144_NO2,STN_146_SO2,STN_146_NO2,STN_345_PM10,STN_345_SO2,STN_345_NO2,STN_146_PM10,TARGET_STN_146_PM10_7_VALUE
,,,,,,,,,,,102.0,2.0,40.0,2.0,54.0,,,,112.0,97.0
,,,,,,112.0,,,-15.0,-0.13392857142857142,63.0,3.0,49.0,2.0,59.0,,,,97.0,86.0
,,,135.0,,,,,,,,,,,2.0,92.0,66.0,2.0,100.0,78.0,67.0
,,,,,,,,,,,65.0,2.0,70.0,2.0,71.0,,,,87.0,77.0
135.0,,,,,,78.0,,,-11.0,-0.14102564102564102,61.0,2.0,47.0,2.0,57.0,,,,67.0,90.0
,,,,,,,,,,,101.0,3.0,65.0,2.0,104.0,,,,105.0,68.0
,,,95.0,,,,,,,,98.0,3.0,61.0,4.0,92.0,,,,106.0,70.0
,,,126.0,,,,,,,,,,,2.0,50.0,84.0,2.0,29.0,45.0,95.0
234.0,,,,,,,,,,,,,,8.0,199.0,,,,312.0,223.0
257.0,,,,,,,,,,,,,,3.0,173.0,411.0,6.0,106.0,322.0,367.0
284.0,,,,,,,,,,,,,,15.0,146.0,398.0,11.0,128.0,272.0,345.0
,,,,,,312.0,,,-89.0,-0.28525641025641024,161.0,2.0,115.0,5.0,116.0,,,,223.0,202.0
,,,,,,322.0,,,45.0,0.13975155279503104,248.0,8.0,172.0,8.0,142.0,,,,367.0,326.0
272.0,,,345.0,73.0,,,,,,,,,,5.0,131.0,311.0,6.0,124.0,207.0,152.0
98.0,,,,,,,,,,,,,,6.0,60.0,,,,368.0,128.0
228.0,,,,,,,,,,,67.0,2.0,87.0,2.0,91.0,,,,94.0,136.0
128.0,-240.0,,,,,,,,,,,,,17.0,109.0,314.0,5.0,105.0,244.0,81.0
213.0,,,,,,,,,,,,,,8.0,76.0,128.0,10.0,58.0,118.0,131.0
,,,,,,118.0,,,13.0,0.11016949152542373,97.0,17.0,85.0,25.0,84.0,,,,131.0,221.0
,,0.11016949152542373,118.0,,0.11016949152542373,131.0,13.0,0.11016949152542373,90.0,0.6870229007633588,196.0,7.0,78.0,5.0,110.0,,,,221.0,25.0
,,,139.0,,,,,,,,,,,9.0,106.0,253.0,10.0,66.0,138.0,154.0
,,,,,,,,,,,,,,2.0,103.0,300.0,2.0,109.0,214.0,177.0
25.0,-196.0,,,,,,,,,,,,,6.0,117.0,,,,239.0,193.0
177.0,-37.0,,,,,,,,,,,,,6.0,87.0,149.0,5.0,68.0,98.0,144.0
,,,106.0,,,,,,,,180.0,5.0,77.0,13.0,103.0,,,,182.0,256.0
106.0,,,,,,182.0,,,74.0,0.4065934065934066,,,,2.0,103.0,,,,256.0,134.0
133.0,,,,,,,,,,,163.0,2.0,49.0,2.0,65.0,,,,154.0,421.0
,,,,,,154.0,,,267.0,1.7337662337662338,,,,12.0,114.0,543.0,15.0,99.0,421.0,52.0
,,,,,,,,,,,,,,15.0,134.0,,,,219.0,407.0
,,,,,,,,,,,332.0,2.0,11.0,2.0,44.0,,,,289.0,327.0
219.0,,,407.0,188.0,,,,,,,219.0,9.0,152.0,12.0,162.0,,,,268.0,217.0
327.0,38.0,,,,,,,,,,,,,18.0,120.0,,,,246.0,429.0
,,,,,,246.0,,,183.0,0.7439024390243902,,,,3.0,156.0,537.0,11.0,195.0,429.0,400.0
268.0,,,217.0,-51.0,,,,,,,223.0,7.0,100.0,14.0,127.0,,,,250.0,567.0
309.0,,,,,,,,,,,245.0,8.0,119.0,10.0,118.0,,,,289.0,375.0
,,0.7439024390243902,246.0,,0.7439024390243902,429.0,183.0,0.7439024390243902,-29.0,-0.0675990675990676,403.0,14.0,123.0,15.0,114.0,,,,400.0,283.0
217.0,-51.0,,,,,250.0,,,317.0,1.268,,,,2.0,175.0,633.0,3.0,169.0,567.0,288.0
,,1.268,250.0,,1.268,567.0,317.0,1.268,-279.0,-0.49206349206349204,,,,2.0,118.0,,,,288.0,236.0
