Date,Stn Code,Residential,Industrial,SO2,NO2,PM10
2011-01-02,345.0,,,,,
2011-01-03,345.0,0.0,1.0,19.0,90.0,193.0
2011-01-04,345.0,,,,,
2011-01-05,345.0,,,,,
2011-01-06,345.0,0.0,1.0,10.0,43.0,165.0
2011-01-07,345.0,,,,,
2011-01-08,345.0,,,,,
2011-01-09,345.0,0.0,1.0,4.0,48.0,65.0
2011-01-10,345.0,,,,,
2011-01-11,345.0,,,,,
2011-01-12,345.0,0.0,1.0,20.0,135.0,590.0
2011-01-13,345.0,,,,,
2011-01-14,345.0,,,,,
2011-01-15,345.0,,,,,
2011-01-16,345.0,,,,,
2011-01-17,345.0,,,,,
2011-01-18,345.0,0.0,1.0,22.0,108.0,252.0
2011-01-19,345.0,0.0,1.0,15.0,104.0,212.0
2011-01-20,345.0,0.0,1.0,15.0,113.0,383.0
2011-01-21,345.0,,,,,
2011-01-22,345.0,,,,,
2011-01-23,345.0,,,,,
2011-01-24,345.0,,,,,
2011-01-25,345.0,,,,,
2011-01-26,345.0,,,,,
2011-01-27,345.0,0.0,1.0,18.0,92.0,324.0
2011-01-28,345.0,0.0,1.0,23.0,86.0,533.0
2011-01-29,345.0,0.0,1.0,15.0,117.0,493.0
2011-01-30,345.0,,,,,
2011-01-31,345.0,,,,,
2011-02-01,345.0,,,,,
2011-02-02,345.0,,,,,
2011-02-03,345.0,0.0,1.0,15.0,103.0,194.0
2011-02-04,345.0,,,,,
2011-02-05,345.0,,,,,
2011-02-06,345.0,0.0,1.0,24.0,68.0,190.0
2011-02-07,345.0,,,,,
2011-02-08,345.0,0.0,1.0,4.0,39.0,104.0
2011-02-09,345.0,0.0,1.0,14.0,39.0,54.0
2011-02-10,345.0,,,,,
2011-02-11,345.0,0.0,1.0,2.0,101.0,298.0
2011-02-12,345.0,0.0,1.0,18.0,128.0,530.0
2011-02-13,345.0,,,,,
2011-02-14,345.0,,,,,
2011-02-15,345.0,0.0,1.0,10.0,92.0,126.0
2011-02-16,345.0,0.0,1.0,12.0,75.0,172.0
2011-02-17,345.0,,,,,
2011-02-18,345.0,,,,,
2011-02-19,345.0,,,,,
2011-02-20,345.0,,,,,
2011-02-21,345.0,,,,,
2011-02-22,345.0,,,,,
2011-02-23,345.0,,,,,
2011-02-24,345.0,,,,,
2011-02-25,345.0,,,,,
2011-02-26,345.0,,,,,
2011-02-27,345.0,,,,,
2011-02-28,345.0,,,,,
2011-03-01,345.0,,,,,
2011-03-02,345.0,,,,,
2011-03-03,345.0,0.0,1.0,6.0,104.0,133.0
2011-03-04,345.0,,,,,
2011-03-05,345.0,0.0,1.0,2.0,50.0,288.0
2011-03-06,345.0,,,,,
2011-03-07,345.0,,,,,
2011-03-08,345.0,0.0,1.0,2.0,52.0,83.0
2011-03-09,345.0,,,,,
2011-03-10,345.0,0.0,1.0,4.0,55.0,233.0
2011-03-11,345.0,0.0,1.0,5.0,118.0,400.0
2011-03-12,345.0,0.0,1.0,13.0,91.0,405.0
2011-03-13,345.0,,,,,
2011-03-14,345.0,0.0,1.0,7.0,89.0,240.0
2011-03-15,345.0,,,,,
2011-03-16,345.0,,,,,
2011-03-17,345.0,,,,,
2011-03-18,345.0,,,,,
2011-03-19,345.0,,,,,
2011-03-20,345.0,,,,,
2011-03-21,345.0,,,,,
2011-03-22,345.0,0.0,1.0,7.0,80.0,201.0
2011-03-23,345.0,0.0,1.0,9.0,60.0,252.0
2011-03-24,345.0,,,,,
2011-03-25,345.0,,,,,
2011-03-26,345.0,,,,,
2011-03-27,345.0,0.0,1.0,11.0,63.0,302.0
2011-03-28,345.0,0.0,1.0,9.0,83.0,189.0
2011-03-29,345.0,,,,,
2011-03-30,345.0,,,,,
2011-03-31,345.0,,,,,
2011-04-01,345.0,0.0,1.0,23.0,52.0,219.0
2011-04-02,345.0,0.0,1.0,18.0,112.0,344.0
2011-04-03,345.0,,,,,
2011-04-04,345.0,,,,,
