Date,Stn Code,Residential,Industrial,SO2,NO2,PM10
2011-01-02,146.0,1.0,0.0,6.0,98.0,262.0
2011-01-03,146.0,1.0,0.0,11.0,75.0,199.0
2011-01-04,146.0,,,,,
2011-01-05,146.0,,,,,
2011-01-06,146.0,1.0,0.0,2.0,36.0,175.0
2011-01-07,146.0,,,,,
2011-01-08,146.0,,,,,
2011-01-09,146.0,,,,,
2011-01-10,146.0,,,,,
2011-01-11,146.0,,,,,
2011-01-12,146.0,1.0,0.0,19.0,132.0,367.0
2011-01-13,146.0,1.0,0.0,23.0,94.0,508.0
2011-01-14,146.0,,,,,
2011-01-15,146.0,,,,,
2011-01-16,146.0,,,,,
2011-01-17,146.0,,,,,
2011-01-18,146.0,1.0,0.0,8.0,72.0,306.0
2011-01-19,146.0,1.0,0.0,5.0,81.0,255.0
2011-01-20,146.0,1.0,0.0,11.0,107.0,431.0
2011-01-21,146.0,,,,,
2011-01-22,146.0,,,,,
2011-01-23,146.0,,,,,
2011-01-24,146.0,,,,,
2011-01-25,146.0,,,,,
2011-01-26,146.0,,,,,
2011-01-27,146.0,,,,,
2011-01-28,146.0,,,,,
2011-01-29,146.0,,,,,
2011-01-30,146.0,,,,,
2011-01-31,146.0,,,,,
2011-02-01,146.0,,,,,
2011-02-02,146.0,1.0,0.0,12.0,100.0,344.0
2011-02-03,146.0,1.0,0.0,12.0,95.0,321.0
2011-02-04,146.0,,,,,
2011-02-05,146.0,,,,,
2011-02-06,146.0,1.0,0.0,8.0,73.0,167.0
2011-02-07,146.0,,,,,
2011-02-08,146.0,1.0,0.0,2.0,35.0,94.0
2011-02-09,146.0,,,,,
2011-02-10,146.0,,,,,
2011-02-11,146.0,1.0,0.0,2.0,110.0,427.0
2011-02-12,146.0,1.0,0.0,16.0,129.0,432.0
2011-02-13,146.0,,,,,
2011-02-14,146.0,,,,,
2011-02-15,146.0,,,,,
2011-02-16,146.0,1.0,0.0,2.0,77.0,162.0
2011-02-17,146.0,1.0,0.0,4.0,80.0,197.0
2011-02-18,146.0,,,,,
2011-02-19,146.0,,,,,
2011-02-20,146.0,,,,,
2011-02-21,146.0,,,,,
2011-02-22,146.0,,,,,
2011-02-23,146.0,,,,,
2011-02-24,146.0,,,,,
2011-02-25,146.0,,,,,
2011-02-26,146.0,,,,,
2011-02-27,146.0,,,,,
2011-02-28,146.0,,,,,
2011-03-01,146.0,,,,,
2011-03-02,146.0,1.0,0.0,23.0,112.0,534.0
2011-03-03,146.0,1.0,0.0,12.0,82.0,200.0
2011-03-04,146.0,,,,,
2011-03-05,146.0,,,,,
2011-03-06,146.0,,,,,
2011-03-07,146.0,,,,,
2011-03-08,146.0,1.0,0.0,2.0,27.0,75.0
2011-03-09,146.0,,,,,
2011-03-10,146.0,,,,,
2011-03-11,146.0,1.0,0.0,3.0,141.0,554.0
2011-03-12,146.0,1.0,0.0,13.0,117.0,351.0
2011-03-13,146.0,,,,,
2011-03-14,146.0,,,,,
2011-03-15,146.0,1.0,0.0,2.0,108.0,355.0
2011-03-16,146.0,1.0,0.0,4.0,94.0,294.0
2011-03-17,146.0,1.0,0.0,10.0,99.0,341.0
2011-03-18,146.0,,,,,
2011-03-19,146.0,,,,,
2011-03-20,146.0,,,,,
2011-03-21,146.0,,,,,
2011-03-22,146.0,,,,,
2011-03-23,146.0,,,,,
2011-03-24,146.0,,,,,
2011-03-25,146.0,,,,,
2011-03-26,146.0,,,,,
2011-03-27,146.0,,,,,
2011-03-28,146.0,,,,,
2011-03-29,146.0,,,,,
2011-03-30,146.0,,,,,
2011-03-31,146.0,,,,,
2011-04-01,146.0,1.0,0.0,2.0,51.0,180.0
2011-04-02,146.0,,,,,
2011-04-03,146.0,,,,,
2011-04-04,146.0,,,,,
2011-04-05,146.0,,,,,
2011-04-06,146.0,,,,,
2011-04-07,146.0,,,,,
2011-04-08,146.0,1.0,0.0,2.0,72.0,119.0
2011-04-09,146.0,,,,,
