Date,Stn Code,Residential,Industrial,SO2,NO2,PM10
2011-01-02,144.0,,,,,
2011-01-03,144.0,,,,,
2011-01-04,144.0,,,,,
2011-01-05,144.0,,,,,
2011-01-06,144.0,,,,,
2011-01-07,144.0,,,,,
2011-01-08,144.0,,,,,
2011-01-09,144.0,1.0,0.0,2.0,43.0,51.0
2011-01-10,144.0,,,,,
2011-01-11,144.0,,,,,
2011-01-12,144.0,,,,,
2011-01-13,144.0,1.0,0.0,9.0,70.0,420.0
2011-01-14,144.0,,,,,
2011-01-15,144.0,,,,,
2011-01-16,144.0,,,,,
2011-01-17,144.0,,,,,
2011-01-18,144.0,,,,,
2011-01-19,144.0,,,,,
2011-01-20,144.0,,,,,
2011-01-21,144.0,,,,,
2011-01-22,144.0,1.0,0.0,12.0,67.0,177.0
2011-01-23,144.0,1.0,0.0,7.0,93.0,151.0
2011-01-24,144.0,1.0,0.0,13.0,104.0,210.0
2011-01-25,144.0,,,,,
2011-01-26,144.0,,,,,
2011-01-27,144.0,,,,,
2011-01-28,144.0,,,,,
2011-01-29,144.0,,,,,
2011-01-30,144.0,,,,,
2011-01-31,144.0,,,,,
2011-02-01,144.0,,,,,
2011-02-02,144.0,,,,,
2011-02-03,144.0,,,,,
2011-02-04,144.0,,,,,
2011-02-05,144.0,,,,,
2011-02-06,144.0,,,,,
2011-02-07,144.0,,,,,
2011-02-08,144.0,,,,,
2011-02-09,144.0,1.0,0.0,4.0,29.0,34.0
2011-02-10,144.0,,,,,
2011-02-11,144.0,,,,,
2011-02-12,144.0,,,,,
2011-02-13,144.0,,,,,
2011-02-14,144.0,,,,,
2011-02-15,144.0,,,,,
2011-02-16,144.0,,,,,
2011-02-17,144.0,,,,,
2011-02-18,144.0,,,,,
2011-02-19,144.0,1.0,0.0,4.0,78.0,229.0
2011-02-20,144.0,1.0,0.0,3.0,79.0,99.0
2011-02-21,144.0,1.0,0.0,2.0,79.0,140.0
2011-02-22,144.0,1.0,0.0,3.0,103.0,203.0
2011-02-23,144.0,1.0,0.0,6.0,100.0,318.0
2011-02-24,144.0,,,,,
2011-02-25,144.0,1.0,0.0,4.0,76.0,90.0
2011-02-26,144.0,1.0,0.0,7.0,71.0,100.0
2011-02-27,144.0,1.0,0.0,3.0,50.0,63.0
2011-02-28,144.0,,,,,
2011-03-01,144.0,,,,,
2011-03-02,144.0,,,,,
2011-03-03,144.0,,,,,
2011-03-04,144.0,,,,,
2011-03-05,144.0,,,,,
2011-03-06,144.0,,,,,
2011-03-07,144.0,,,,,
2011-03-08,144.0,,,,,
2011-03-09,144.0,,,,,
2011-03-10,144.0,1.0,0.0,2.0,54.0,72.0
2011-03-11,144.0,,,,,
2011-03-12,144.0,,,,,
2011-03-13,144.0,,,,,
2011-03-14,144.0,,,,,
2011-03-15,144.0,1.0,0.0,2.0,101.0,151.0
2011-03-16,144.0,1.0,0.0,2.0,85.0,129.0
2011-03-17,144.0,1.0,0.0,4.0,87.0,172.0
2011-03-18,144.0,,,,,
2011-03-19,144.0,,,,,
2011-03-20,144.0,,,,,
2011-03-21,144.0,,,,,
2011-03-22,144.0,1.0,0.0,3.0,82.0,156.0
2011-03-23,144.0,1.0,0.0,5.0,88.0,149.0
2011-03-24,144.0,1.0,0.0,6.0,78.0,193.0
2011-03-25,144.0,1.0,0.0,6.0,88.0,171.0
2011-03-26,144.0,1.0,0.0,3.0,77.0,199.0
2011-03-27,144.0,,,,,
2011-03-28,144.0,,,,,
2011-03-29,144.0,,,,,
2011-03-30,144.0,,,,,
2011-03-31,144.0,,,,,
2011-04-01,144.0,1.0,0.0,2.0,38.0,144.0
2011-04-02,144.0,,,,,
2011-04-03,144.0,,,,,
2011-04-04,144.0,,,,,
2011-04-05,144.0,,,,,
2011-04-06,144.0,,,,,
2011-04-07,144.0,,,,,
2011-04-08,144.0,,,,,
2011-04-09,144.0,,,,,
2011-04-10,144.0,1.0,0.0,2.0,58.0,78.0
2011-04-11,144.0,,,,,
2011-04-12,144.0,,,,,
2011-04-13,144.0,,,,,
2011-04-14,144.0,,,,,
2011-04-15,144.0,,,,,
2011-04-16,144.0,,,,,
2011-04-17,144.0,,,,,
2011-04-18,144.0,,,,,
2011-04-19,144.0,1.0,0.0,2.0,83.0,174.0
2011-04-20,144.0,1.0,0.0,2.0,87.0,147.0
2011-04-21,144.0,1.0,0.0,2.0,56.0,152.0
2011-04-22,144.0,1.0,0.0,3.0,84.0,131.0
2011-04-23,144.0,1.0,0.0,3.0,87.0,176.0
2011-04-24,144.0,,,,,
2011-04-25,144.0,,,,,
2011-04-26,144.0,,,,,
2011-04-27,144.0,1.0,0.0,2.0,100.0,237.0
2011-04-28,144.0,1.0,0.0,2.0,83.0,400.0
2011-04-29,144.0,1.0,0.0,2.0,91.0,386.0
2011-04-30,144.0,,,,,
2011-05-01,144.0,1.0,0.0,2.0,53.0,190.0
2011-05-02,144.0,,,,,
2011-05-03,144.0,,,,,
2011-05-04,144.0,,,,,
2011-05-05,144.0,,,,,
2011-05-06,144.0,,,,,
2011-05-07,144.0,1.0,0.0,2.0,54.0,64.0
2011-05-08,144.0,,,,,
2011-05-09,144.0,,,,,
2011-05-10,144.0,,,,,
2011-05-11,144.0,,,,,
2011-05-12,144.0,,,,,
2011-05-13,144.0,,,,,
2011-05-14,144.0,,,,,
2011-05-15,144.0,,,,,
2011-05-16,144.0,,,,,
2011-05-17,144.0,1.0,0.0,3.0,75.0,192.0
2011-05-18,144.0,1.0,0.0,3.0,76.0,126.0
2011-05-19,144.0,1.0,0.0,2.0,42.0,110.0
2011-05-20,144.0,1.0,0.0,2.0,26.0,164.0
2011-05-21,144.0,1.0,0.0,2.0,27.0,48.0
2011-05-22,144.0,,,,,
2011-05-23,144.0,,,,,
2011-05-24,144.0,1.0,0.0,2.0,73.0,157.0
2011-05-25,144.0,1.0,0.0,3.0,73.0,192.0
2011-05-26,144.0,1.0,0.0,4.0,51.0,99.0
2011-05-27,144.0,,,,,
2011-05-28,144.0,,,,,
2011-05-29,144.0,,,,,
2011-05-30,144.0,,,,,
2011-05-31,144.0,,,,,
2011-06-01,144.0,,,,,
2011-06-02,144.0,,,,,
2011-06-03,144.0,,,,,
2011-06-04,144.0,,,,,
2011-06-05,144.0,,,,,
2011-06-06,144.0,,,,,
2011-06-07,144.0,1.0,0.0,2.0,55.0,51.0
2011-06-08,144.0,,,,,
2011-06-09,144.0,,,,,
2011-06-10,144.0,,,,,
2011-06-11,144.0,,,,,
2011-06-12,144.0,,,,,
2011-06-13,144.0,,,,,
2011-06-14,144.0,,,,,
2011-06-15,144.0,1.0,0.0,2.0,43.0,59.0
2011-06-16,144.0,1.0,0.0,2.0,41.0,85.0
2011-06-17,144.0,1.0,0.0,2.0,49.0,66.0
2011-06-18,144.0,,,,,
2011-06-19,144.0,,,,,
2011-06-20,144.0,,,,,
2011-06-21,144.0,,,,,
2011-06-22,144.0,,,,,
2011-06-23,144.0,,,,,
2011-06-24,144.0,,,,,
2011-06-25,144.0,,,,,
2011-06-26,144.0,,,,,
2011-06-27,144.0,,,,,
2011-06-28,144.0,1.0,0.0,2.0,33.0,46.0
2011-06-29,144.0,1.0,0.0,2.0,46.0,43.0
2011-06-30,144.0,,,,,
2011-07-01,144.0,,,,,
2011-07-02,144.0,,,,,
2011-07-03,144.0,,,,,
2011-07-04,144.0,,,,,
2011-07-05,144.0,,,,,
2011-07-06,144.0,1.0,0.0,2.0,47.0,101.0
2011-07-07,144.0,1.0,0.0,2.0,40.0,53.0
2011-07-08,144.0,,,,,
2011-07-09,144.0,1.0,0.0,2.0,75.0,65.0
2011-07-10,144.0,,,,,
2011-07-11,144.0,,,,,
2011-07-12,144.0,,,,,
2011-07-13,144.0,,,,,
2011-07-14,144.0,,,,,
2011-07-15,144.0,,,,,
2011-07-16,144.0,,,,,
2011-07-17,144.0,,,,,
2011-07-18,144.0,,,,,
2011-07-19,144.0,1.0,0.0,2.0,52.0,77.0
2011-07-20,144.0,1.0,0.0,2.0,35.0,71.0
2011-07-21,144.0,1.0,0.0,2.0,46.0,74.0
2011-07-22,144.0,,,,,
2011-07-23,144.0,,,,,
2011-07-24,144.0,,,,,
2011-07-25,144.0,,,,,
2011-07-26,144.0,,,,,
2011-07-27,144.0,1.0,0.0,2.0,59.0,48.0
2011-07-28,144.0,1.0,0.0,2.0,51.0,34.0
2011-07-29,144.0,,,,,
2011-07-30,144.0,,,,,
2011-07-31,144.0,,,,,
2011-08-01,144.0,,,,,
2011-08-02,144.0,,,,,
2011-08-03,144.0,,,,,
2011-08-04,144.0,,,,,
2011-08-05,144.0,,,,,
2011-08-06,144.0,1.0,0.0,2.0,41.0,118.0
2011-08-07,144.0,,,,,
2011-08-08,144.0,,,,,
2011-08-09,144.0,1.0,0.0,5.0,66.0,41.0
2011-08-10,144.0,1.0,0.0,2.0,55.0,114.0
2011-08-11,144.0,,,,,
2011-08-12,144.0,,,,,
2011-08-13,144.0,,,,,
2011-08-14,144.0,,,,,
2011-08-15,144.0,,,,,
2011-08-16,144.0,,,,,
2011-08-17,144.0,,,,,
2011-08-18,144.0,,,,,
2011-08-19,144.0,,,,,
2011-08-20,144.0,,,,,
2011-08-21,144.0,,,,,
2011-08-22,144.0,,,,,
2011-08-23,144.0,,,,,
2011-08-24,144.0,1.0,0.0,2.0,45.0,77.0
2011-08-25,144.0,1.0,0.0,2.0,51.0,67.0
2011-08-26,144.0,1.0,0.0,2.0,62.0,121.0
2011-08-27,144.0,1.0,0.0,3.0,62.0,56.0
2011-08-28,144.0,1.0,0.0,2.0,61.0,54.0
2011-08-29,144.0,1.0,0.0,2.0,55.0,62.0
2011-08-30,144.0,,,,,
2011-08-31,144.0,,,,,
2011-09-01,144.0,,,,,
2011-09-02,144.0,,,,,
2011-09-03,144.0,,,,,
2011-09-04,144.0,,,,,
2011-09-05,144.0,,,,,
2011-09-06,144.0,1.0,0.0,2.0,42.0,186.0
2011-09-07,144.0,,,,,
2011-09-08,144.0,1.0,0.0,2.0,45.0,45.0
