Date,Stn Code,Residential,Industrial,SO2,NO2,PM10
2011-06-16,531.0,1.0,0.0,4.0,36.0,416.0
2011-06-17,531.0,,,,,
2011-06-18,531.0,,,,,
2011-06-19,531.0,,,,,
2011-06-20,531.0,,,,,
2011-06-21,531.0,1.0,0.0,4.0,36.0,128.0
2011-06-22,531.0,,,,,
2011-06-23,531.0,,,,,
2011-06-24,531.0,1.0,0.0,4.0,32.0,121.0
2011-06-25,531.0,,,,,
2011-06-26,531.0,,,,,
2011-06-27,531.0,,,,,
2011-06-28,531.0,,,,,
2011-06-29,531.0,1.0,0.0,4.0,35.0,146.0
2011-06-30,531.0,,,,,
2011-07-01,531.0,1.0,0.0,4.0,44.0,331.0
2011-07-02,531.0,,,,,
2011-07-03,531.0,1.0,0.0,4.0,48.0,114.0
2011-07-04,531.0,,,,,
2011-07-05,531.0,,,,,
2011-07-06,531.0,,,,,
2011-07-07,531.0,,,,,
2011-07-08,531.0,,,,,
2011-07-09,531.0,1.0,0.0,4.0,33.0,177.0
2011-07-10,531.0,,,,,
2011-07-11,531.0,,,,,
2011-07-12,531.0,,,,,
2011-07-13,531.0,1.0,0.0,4.0,37.0,135.0
2011-07-14,531.0,,,,,
2011-07-15,531.0,,,,,
2011-07-16,531.0,,,,,
2011-07-17,531.0,,,,,
2011-07-18,531.0,1.0,0.0,4.0,38.0,252.0
2011-07-19,531.0,,,,,
2011-07-20,531.0,,,,,
2011-07-21,531.0,1.0,0.0,4.0,32.0,167.0
2011-07-22,531.0,,,,,
2011-07-23,531.0,,,,,
2011-07-24,531.0,,,,,
2011-07-25,531.0,,,,,
2011-07-26,531.0,1.0,0.0,4.0,33.0,180.0
2011-07-27,531.0,,,,,
2011-07-28,531.0,,,,,
2011-07-29,531.0,,,,,
2011-07-30,531.0,,,,,
2011-07-31,531.0,,,,,
2011-08-01,531.0,,,,,
2011-08-02,531.0,,,,,
2011-08-03,531.0,,,,,
2011-08-04,531.0,,,,,
2011-08-05,531.0,,,,,
2011-08-06,531.0,1.0,0.0,4.0,37.0,156.0
2011-08-07,531.0,1.0,0.0,4.0,42.0,122.0
2011-08-08,531.0,1.0,0.0,4.0,35.0,110.0
2011-08-09,531.0,,,,,
2011-08-10,531.0,,,,,
2011-08-11,531.0,,,,,
2011-08-12,531.0,,,,,
2011-08-13,531.0,,,,,
2011-08-14,531.0,,,,,
2011-08-15,531.0,,,,,
2011-08-16,531.0,,,,,
2011-08-17,531.0,1.0,0.0,4.0,35.0,75.0
2011-08-18,531.0,,,,,
2011-08-19,531.0,,,,,
2011-08-20,531.0,,,,,
2011-08-21,531.0,,,,,
2011-08-22,531.0,,,,,
2011-08-23,531.0,1.0,0.0,4.0,35.0,140.0
2011-08-24,531.0,,,,,
2011-08-25,531.0,,,,,
2011-08-26,531.0,1.0,0.0,4.0,37.0,185.0
2011-08-27,531.0,,,,,
2011-08-28,531.0,,,,,
2011-08-29,531.0,,,,,
2011-08-30,531.0,,,,,
2011-08-31,531.0,,,,,
2011-09-01,531.0,,,,,
2011-09-02,531.0,1.0,0.0,4.0,36.0,166.0
2011-09-03,531.0,,,,,
2011-09-04,531.0,,,,,
2011-09-05,531.0,,,,,
2011-09-06,531.0,,,,,
2011-09-07,531.0,,,,,
2011-09-08,531.0,,,,,
2011-09-09,531.0,,,,,
2011-09-10,531.0,,,,,
2011-09-11,531.0,,,,,
2011-09-12,531.0,1.0,0.0,4.0,45.0,296.0
2011-09-13,531.0,,,,,
2011-09-14,531.0,,,,,
2011-09-15,531.0,,,,,
2011-09-16,531.0,,,,,
2011-09-17,531.0,,,,,
2011-09-18,531.0,,,,,
2011-09-19,531.0,,,,,
2011-09-20,531.0,1.0,0.0,4.0,35.0,107.0
2011-09-21,531.0,,,,,
2011-09-22,531.0,,,,,
2011-09-23,531.0,1.0,0.0,4.0,41.0,55.0
2011-09-24,531.0,,,,,
2011-09-25,531.0,,,,,
2011-09-26,531.0,,,,,
2011-09-27,531.0,,,,,
2011-09-28,531.0,1.0,0.0,4.0,43.0,47.0
2011-09-29,531.0,,,,,
2011-09-30,531.0,,,,,
2011-10-01,531.0,,,,,
2011-10-02,531.0,,,,,
2011-10-03,531.0,1.0,0.0,4.0,35.0,147.0
2011-10-04,531.0,,,,,
2011-10-05,531.0,,,,,
2011-10-06,531.0,,,,,
