LAG_21_STN_345_PM10,LAG_21_STN_345_PM10_7_DIFF,LAG_21_STN_345_PM10_7_PROP_DIFF,LAG_14_STN_345_PM10,LAG_14_STN_345_PM10_7_DIFF,LAG_14_STN_345_PM10_7_PROP_DIFF,LAG_7_STN_345_PM10,LAG_7_STN_345_PM10_7_DIFF,LAG_7_STN_345_PM10_7_PROP_DIFF,CURRENT_STN_345_PM10_7_DIFF,CURRENT_STN_345_PM10_7_PROP_DIFF,STN_144_PM10,STN_144_SO2,STN_144_NO2,STN_146_PM10,STN_146_SO2,STN_146_NO2,STN_345_SO2,STN_345_NO2,STN_345_PM10,TARGET_STN_345_PM10_7_VALUE
217.0,,,106.0,-111.0,,,,,,,153.0,15.0,115.0,,,,2.0,107.0,222.0,189.0
,,,257.0,,,,,,,,,,,296.0,2.0,133.0,10.0,148.0,452.0,128.0
,,,127.0,,,,,,,,117.0,2.0,69.0,,,,2.0,58.0,169.0,226.0
,,,230.0,,,,,,,,,,,421.0,12.0,114.0,15.0,99.0,543.0,181.0
230.0,,,,,,543.0,,,-362.0,-0.6666666666666666,,,,52.0,7.0,56.0,5.0,78.0,181.0,140.0
,,-0.6666666666666666,543.0,,-0.6666666666666666,181.0,-362.0,-0.6666666666666666,-41.0,-0.2265193370165746,67.0,6.0,33.0,,,,5.0,90.0,140.0,81.0
,,,,,,,,,,,35.0,7.0,60.0,,,,2.0,81.0,113.0,114.0
,,,,,,,,,,,65.0,2.0,63.0,,,,2.0,76.0,175.0,683.0
200.0,,,,,,,,,,,52.0,2.0,55.0,,,,2.0,50.0,125.0,240.0
138.0,,,,,,,,,,,56.0,2.0,81.0,,,,2.0,38.0,153.0,236.0
,,,,,,,,,,,,,,,,,2.0,56.0,169.0,198.0
236.0,83.0,,,,,,,,,,,,,,,,5.0,61.0,220.0,420.0
,,,545.0,,,,,,,,,,,,,,4.0,100.0,319.0,273.0
,,,,,,,,,,,,,,,,,2.0,142.0,275.0,93.0
546.0,,,,,,,,,,,,,,407.0,6.0,152.0,8.0,176.0,508.0,709.0
420.0,200.0,,,,,,,,,,286.0,13.0,150.0,,,,5.0,160.0,469.0,609.0
